year,value,country,mnemonic,varlabel,title,subtitle,wbcountry_name,wbccode,wbregion_name,wbincome_name,wblending,countryid,indicatorid,date
2012,2.5173848,"MDV","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,216,"14 Aug 2024"
2019,14.022439,"MDV","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,226,"14 Aug 2024"
2005,-8.4010258,"MDV","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,208,"14 Aug 2024"
2005,1.292937,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2014,2.1153636,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2022,15.3908,"MDV","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Maldives","MDV","South Asia","Upper middle income","IDA",104,218,"14 Aug 2024"
2005,0,"MDV","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Maldives","MDV","South Asia","Upper middle income","IDA",104,203,"14 Aug 2024"
2014,-3.1906662,"MDV","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,202,"14 Aug 2024"
2018,2.7852304,"MDV","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,205,"14 Aug 2024"
2023,5.1588302,"MDV","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,220,"14 Aug 2024"
2009,80.982254,"MDV","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,225,"14 Aug 2024"
2021,79.528076,"MDV","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,228,"14 Aug 2024"
2019,.40266132,"MDV","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,229,"14 Aug 2024"
2017,80.567894,"MDV","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,225,"14 Aug 2024"
2013,16.497295,"MDV","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,226,"14 Aug 2024"
2009,48.38694,"MDV","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,207,"14 Aug 2024"
2013,9.7640982,"MDV","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,224,"14 Aug 2024"
2005,12.8,"MDV","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Maldives","MDV","South Asia","Upper middle income","IDA",104,218,"14 Aug 2024"
2025,-.77042001,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
2013,7.4302654,"MDV","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,220,"14 Aug 2024"
2016,12.481454,"MDV","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,224,"14 Aug 2024"
2015,100,"MDV","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Maldives","MDV","South Asia","Upper middle income","IDA",104,219,"14 Aug 2024"
2008,78.61895,"MDV","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,225,"14 Aug 2024"
2008,6.0585961,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
2021,-.72668833,"MDV","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,201,"14 Aug 2024"
2024,54.841812,"MDV","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Maldives","MDV","South Asia","Upper middle income","IDA",104,219,"14 Aug 2024"
2013,7.2810764,"MDV","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,213,"14 Aug 2024"
2023,122.87101,"MDV","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,207,"14 Aug 2024"
2020,.32792282,"MDV","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,206,"14 Aug 2024"
2009,-7.2288365,"MDV","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,213,"14 Aug 2024"
2013,-10.981349,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2005,0,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
2007,33.814812,"MDV","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,221,"14 Aug 2024"
2013,.04770439,"MDV","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,206,"14 Aug 2024"
2021,49.731159,"MDV","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,214,"14 Aug 2024"
2014,7.3296275,"MDV","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,216,"14 Aug 2024"
2009,75.444237,"MDV","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,222,"14 Aug 2024"
2007,7.1234274,"MDV","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,212,"14 Aug 2024"
2008,9.9335394,"MDV","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,215,"14 Aug 2024"
2018,-5.1688571,"MDV","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,208,"14 Aug 2024"
2012,16.311096,"MDV","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,226,"14 Aug 2024"
2008,.16086553,"MDV","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,229,"14 Aug 2024"
2009,-7.2288365,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2026,12.181967,"MDV","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,227,"14 Aug 2024"
2026,.15917169,"MDV","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,221,"14 Aug 2024"
2006,26.111515,"MDV","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,214,"14 Aug 2024"
2026,16.156424,"MDV","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,213,"14 Aug 2024"
2026,3775.0237,"MDV","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Maldives","MDV","South Asia","Upper middle income","IDA",104,211,"14 Aug 2024"
2023,-5.0844126,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2018,7.4524794,"MDV","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,228,"14 Aug 2024"
2026,-.35267401,"MDV","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,205,"14 Aug 2024"
2025,5.1640415,"MDV","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,228,"14 Aug 2024"
2011,8.5667362,"MDV","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,214,"14 Aug 2024"
2012,3.2899597,"MDV","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,215,"14 Aug 2024"
2025,.2995581,"MDV","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,222,"14 Aug 2024"
2017,-9.5194075,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2022,114.50307,"MDV","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,207,"14 Aug 2024"
2012,11.219131,"MDV","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,224,"14 Aug 2024"
2025,15.567697,"MDV","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,212,"14 Aug 2024"
2012,2.5173848,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2006,33.629452,"MDV","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,221,"14 Aug 2024"
2012,-.18276477,"MDV","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,201,"14 Aug 2024"
